"","x"
"124",2.85415495455379e-06
"125",0.00204420097040348
"126",0.000347271918784529
"127",1.72020212750964e-05
"128",4.60183097549498e-06
"129",3.01582405934498e-05
"130",9.09681308906534e-05
"131",4.92601531496372e-05
"132",0.000242997705455524
"133",0.000224167873255442
"134",1.29415468463459e-05
"135",4.79970042606274e-06
"136",2.08851089163666e-05
"137",5.97675940340781e-05
"138",0.000334653084297406
"139",6.72606789278073e-05
"140",0.000778486786611862
"141",1.7340062153129e-05
"142",0.000933568440492938
"143",0.000192856955952459
"144",0.00157759649199758
"145",0.00119872009529804
"146",0.00707725837076123
"147",0.000655197756610222
"148",0.00270569638410191
"149",0.00129671795241713
"150",0.00198567141103035
"151",0.00069794279270852
"152",0.00106873697061275
"153",0.00301469632163376
"154",3.63290825291272e-05
"155",0.00122210216654889
"156",0.00154426805939288
"157",0.000680066761038403
"158",0.000616311902693734
"159",0.00924345588659402
"160",0.00747922226495906
"161",0.00805855057746897
"162",0.000555422611434839
"163",2.91640857403869e-05
"164",0.000796867814101431
"165",0.00497927230095027
"166",0.00177995960421857
"167",0.00305923070702069
"168",0.00303642560853016
"169",0.00321705937930989
"170",0.0015111152143757
"171",5.83605571121661e-05
"172",0.000259078109355495
"173",0.000298800626199692
"174",0.000595193301228665
"175",3.26928233639376e-06
"176",0.000727914224915503
"177",2.63961038196833e-05
"178",8.94931697632419e-05
"179",0.000222708601587138
"180",0.00119343282332191
"181",0.00490910911891389
"182",0.000109854694028019
"183",1.19306734590147e-06
"184",8.20581137930896e-05
"185",0.000179557736758449
"186",0.00034431007559903
"187",8.01447805914504e-06
"188",3.71869794773889e-06
"189",7.32104840516257e-05
"190",7.72812798437455e-07
"191",1.9315323325764e-05
"192",0.000103293581893352
"193",2.65311251928031e-05
"194",4.67552919563658e-05
"195",3.33798275576221e-07
"196",5.26619001075074e-05
"197",1.00049572760026e-05
"198",7.20848876014544e-05
"199",0.000154782813049131
"200",9.35372919273181e-07
"201",2.69142778432957e-05
"202",0.000475445641285741
"203",3.29271383992736e-05
"204",1.52052350598934e-05
"205",4.3588443846426e-05
"206",1.56926811439094e-05
"207",4.12466457595361e-05
"208",8.65263799054391e-05
"209",8.30272578479174e-05
"210",0.000115865832038179
"211",2.86686422558653e-06
"212",0.0001178304429279
"213",2.37251950024713e-05
"214",8.14985784744019e-05
"215",0.00144315252929606
"216",1.67527250418649e-05
"217",4.6687279403293e-05
"218",7.74182597806836e-06
"219",9.97447560495641e-05
"220",5.26666341440111e-05
"221",8.1111889106082e-05
"222",0.000325559825115987
"223",3.93757811139879e-05
"224",4.18958884481117e-07
"225",0.000163381631966988
"226",0.000692284648497697
"227",6.70808889517899e-05
"228",0.000404229323354652
"229",2.71109561748658e-05
"230",0.000105737287047392
"231",2.44373770943072e-05
"232",9.71024890121626e-05
"233",1.50391492817633e-05
"234",6.74139793162764e-07
"235",8.50343109652223e-06
"236",4.34836305287934e-05
"237",3.7385159551925e-05
"238",2.90664564693215e-05
"239",1.10690963575185e-05
"240",1.70742837368893e-05
"241",0.000294362339802499
"242",0.00011776056406337
"243",0.00015244407727388
"244",2.37272190936781e-06
"245",3.11652650953801e-05
"246",2.49637075791623e-05
"247",9.77652982515211e-05
"248",8.19675103403166e-05
"249",3.78719001522754e-05
"250",5.88597112183901e-06
"251",0.000354176100364699
"252",4.80201966895683e-05
"253",7.93648240556355e-05
"254",4.74723005079338e-05
"255",7.55013409567373e-05
"256",0.000117991120808264
"257",6.83724241601938e-06
"258",8.81677267462766e-05
"259",0.000765477744138359
"260",2.69037045527963e-05
"261",0.000140986562670966
"262",0.000180719493522461
"263",6.69200685755735e-05
"264",0.000135979098837038
"265",0.000617320272504365
"266",0.000254879561650725
"267",7.4300909544195e-07
"268",0.000150774837293088
"269",0.00158920176785685
"270",3.73915148787331e-06
"271",0.000885748652992798
"272",6.78327953420768e-06
"273",4.35196396523928e-05
"274",0.000272188995009069
"275",2.30729685666328e-05
"276",5.72815251078757e-06
"277",1.0931012544184e-06
"278",0.000175417015657529
"279",6.17509299756837e-05
"280",1.77883455902689e-05
"281",2.19325660201564e-05
"282",8.91227101088125e-05
"283",0.000108885800665043
"284",2.92773497699467e-06
"285",9.13111190926045e-07
"286",0.000224476546930604
"287",0.000994393066452558
"288",5.26192674879262e-05
"289",6.72917156801023e-05
"290",3.11633486370826e-05
"291",0.000154079880702644
"292",0.000372331062085732
"293",4.82946126419697e-05
"294",1.59757987568164e-05
"295",0.00022437267270725
"296",0.0008299628773996
"297",7.44543794886537e-05
"298",2.23093232621372e-06
"299",7.37051085254806e-05
"300",0.000329159390375226
"301",1.746886510338e-06
"302",0.000163925420719338
"303",4.3256891087891e-06
"304",2.0843264706598e-06
"305",1.24261021357527e-08
"306",0.00010151287130648
"307",7.05708900857487e-06
"308",7.6888011581677e-06
"309",2.04075678890952e-06
"310",5.08019496367842e-05
"311",6.39906054160381e-06
"312",1.8242973771622e-05
"313",1.74235026357401e-05
"314",2.54090950309097e-06
"315",5.17503792182135e-05
"316",1.08966585475626e-07
"317",1.61380462956505e-06
"318",7.04230567245922e-05
"319",2.18385232293282e-05
"320",1.48118849666285e-07
"321",1.00107488259759e-06
"322",0.00018896578962485
"323",0.00017544823551438
